# Time-averaged data for fix msd
# TimeStep c_msdO[1] c_msdO[2] c_msdO[3] c_msdO[4]
298000 31.777 32.025 31.8123 95.6143
299000 32.0168 32.1779 32.2139 96.4086
300000 32.2231 32.6252 32.4231 97.2714
301000 32.2553 32.6103 32.0815 96.9471
302000 32.0811 32.3494 31.9569 96.3875
303000 32.3336 32.9477 32.3818 97.6632
304000 32.5994 33.0238 32.6194 98.2426
305000 31.9453 33.2222 32.403 97.5706
306000 32.3846 33.2115 32.5395 98.1356
307000 32.1052 32.8308 32.6862 97.6222
308000 31.9552 33.3702 32.6838 98.0092
309000 32.3898 33.0022 32.561 97.953
310000 32.027 32.8088 32.951 97.7869
311000 31.9855 33.0751 32.8786 97.9393
312000 32.299 33.2957 33.4954 99.0901
313000 32.2734 33.8356 33.551 99.6601
314000 32.4263 34.0137 33.2474 99.6874
315000 32.3468 33.8533 33.3643 99.5644
316000 32.1097 34.1945 33.0253 99.3296
317000 32.4515 33.6079 33.0357 99.0951
318000 32.515 33.7135 32.6783 98.9068
319000 32.3957 33.6168 33.2967 99.3092
320000 32.6949 34.1645 33.3696 100.229
321000 32.6478 33.8374 33.3299 99.8151
322000 32.6406 33.5411 33.4226 99.6043
323000 32.8556 33.7419 33.6625 100.26
324000 32.8752 33.9745 33.4458 100.296
325000 32.9532 34.2272 33.5574 100.738
326000 33.1003 33.9328 33.1833 100.216
327000 33.3608 34.0984 33.611 101.07
328000 33.1499 34.2191 33.5709 100.94
329000 33.6184 34.2619 33.8309 101.711
330000 33.8314 34.8164 33.7889 102.437
331000 33.864 34.6778 33.9135 102.455
332000 33.8445 34.7943 33.85 102.489
333000 33.9753 34.7236 33.6629 102.362
334000 34.2196 34.3456 33.7712 102.336
335000 33.8435 34.5953 34.145 102.584
336000 34.0251 34.6887 34.2313 102.945
337000 33.4804 34.9156 34.0253 102.421
338000 33.5427 34.8231 33.7186 102.084
339000 34.1304 35.3206 33.9524 103.403
340000 34.3213 35.6016 33.9709 103.894
341000 33.906 35.5833 34.0099 103.499
342000 34.256 35.4772 34.3327 104.066
343000 34.0705 35.6645 34.2894 104.024
344000 34.2134 35.6618 34.8284 104.704
345000 34.4153 35.8581 34.6473 104.921
346000 34.511 36.1592 34.6409 105.311
347000 34.1827 35.6678 34.46 104.311
348000 34.6168 36.1589 34.947 105.723
349000 34.1555 36.0971 34.9071 105.16
350000 34.3775 35.6501 34.8633 104.891
351000 34.5031 36.2216 34.9942 105.719
352000 34.531 36.3121 34.9673 105.81
353000 35.0784 36.4245 34.9631 106.466
354000 34.8843 36.2299 34.8754 105.99
355000 35.1666 35.9635 34.8178 105.948
356000 34.936 36.5841 35.2243 106.744
357000 35.0424 35.8508 34.9574 105.851
358000 34.8289 35.9348 34.8684 105.632
359000 34.7705 36.7595 35.2939 106.824
360000 35.006 36.3566 35.3044 106.667
361000 34.8988 36.796 35.4867 107.181
362000 34.9305 36.3372 34.9931 106.261
363000 35.0041 36.7192 35.1625 106.886
364000 35.1364 36.6603 35.3246 107.121
365000 35.1535 36.6413 34.9465 106.741
366000 34.8702 36.7291 35.2574 106.857
367000 34.8845 36.2354 35.4311 106.551
368000 35.1517 36.8095 35.7594 107.721
369000 35.0067 36.2996 35.3958 106.702
370000 35.4329 36.2602 35.5647 107.258
371000 35.0915 37.0804 36.0254 108.197
372000 35.6274 37.2519 35.6297 108.509
373000 35.53 37.5525 35.6887 108.771
374000 35.9708 37.7823 35.7093 109.462
375000 35.6189 37.5856 35.3306 108.535
376000 36.4041 37.7494 35.9209 110.074
377000 35.9365 37.4492 35.8395 109.225
378000 35.9986 37.6323 35.8779 109.509
379000 36.5241 37.3239 36.033 109.881
380000 36.4372 37.771 36.367 110.575
381000 36.6855 37.3067 36.041 110.033
382000 36.2969 37.279 36.2935 109.869
383000 36.9265 37.56 36.0578 110.544
384000 36.453 37.8356 36.2579 110.546
385000 36.7811 38.1764 36.6848 111.642
386000 36.6702 37.9236 36.6894 111.283
387000 36.5796 37.9417 36.1603 110.682
388000 36.6844 37.8309 36.375 110.89
389000 36.7096 38.0477 36.6968 111.454
390000 36.4224 37.9958 36.6088 111.027
391000 36.45 37.9541 36.5539 110.958
392000 36.5553 38.495 36.6179 111.668
393000 36.7086 38.2397 36.8353 111.784
394000 36.8502 38.5236 37.0745 112.448
395000 36.6916 38.621 36.9396 112.252
396000 36.6225 38.4018 36.8613 111.886
397000 36.7933 38.7031 36.9575 112.454
398000 36.9032 38.825 36.9957 112.724
399000 36.7562 38.5321 37.2469 112.535
400000 37.0714 39.128 37.3976 113.597
401000 36.9189 39.0811 37.7226 113.723
402000 36.7705 38.7485 37.3695 112.889
403000 36.4518 39.0175 37.2378 112.707
404000 36.7856 38.4603 37.2929 112.539
405000 37.235 38.8538 37.2258 113.315
406000 37.5579 39.017 38.0925 114.667
407000 38.0821 39.1664 37.7323 114.981
408000 37.3435 38.9537 37.6309 113.928
409000 37.5393 39.2459 37.3021 114.087
410000 37.3214 39.7319 37.7003 114.754
411000 38.2837 39.3549 37.7837 115.422
412000 37.6364 39.8225 38.0025 115.461
413000 37.613 39.4886 38.0114 115.113
414000 37.7107 39.5055 37.889 115.105
415000 37.4191 39.4431 38.1687 115.031
416000 37.6034 39.1724 37.5017 114.277
417000 37.979 39.8636 37.9288 115.771
418000 37.9119 39.8586 38.1182 115.889
419000 38.2969 39.8913 38.5907 116.779
420000 38.1102 39.1818 38.3346 115.627
421000 38.2085 38.7699 38.7849 115.763
422000 38.3039 39.5035 38.881 116.688
423000 38.3263 39.5174 38.662 116.506
424000 38.5057 39.4087 38.951 116.865
425000 38.1708 39.4675 38.756 116.394
426000 38.4053 39.2608 38.8942 116.56
427000 38.3485 39.1125 38.8193 116.28
428000 38.2203 39.6208 39.0374 116.878
429000 38.5914 39.6436 39.0828 117.318
430000 38.9504 39.9831 39.33 118.263
431000 38.9273 40.309 39.1742 118.411
432000 39.0899 40.2869 39.5155 118.892
433000 39.2098 40.2784 40.0163 119.504
434000 39.348 40.3878 39.8506 119.586
435000 39.0727 40.8765 40.0763 120.025
436000 39.2043 41.1952 40.2569 120.656
437000 39.4369 40.9502 40.1752 120.562
438000 39.6371 40.4231 40.5377 120.598
439000 39.7465 40.7656 40.6983 121.21
440000 39.8866 40.9179 40.8559 121.66
441000 40.0546 40.694 40.5548 121.303
442000 40.4273 40.9822 40.8632 122.273
443000 40.6719 40.6225 40.4905 121.785
444000 41.4547 41.4097 40.9502 123.815
445000 41.0197 41.1227 40.9599 123.102
446000 40.9252 41.1817 41.0391 123.146
447000 40.7079 41.2329 41.5242 123.465
448000 41.002 41.3041 41.4481 123.754
449000 41.5651 42.0214 42.1857 125.772
450000 41.0396 41.5453 41.3665 123.951
451000 40.5669 41.4109 41.0648 123.043
452000 40.6614 41.1814 40.8723 122.715
453000 40.6731 41.7875 41.2334 123.694
454000 41.0573 41.6429 41.2296 123.93
455000 40.5645 41.5924 41.2226 123.38
456000 41.0869 41.7702 41.5127 124.37
457000 40.7727 41.6195 41.4725 123.865
458000 41.2512 41.6263 41.4559 124.333
459000 41.3208 41.7034 41.3721 124.396
460000 41.1623 41.5847 41.8419 124.589
461000 41.2077 41.7485 41.5954 124.552
462000 41.0056 41.711 41.926 124.643
463000 40.9709 41.7724 41.5314 124.275
464000 41.5708 42.3701 42.003 125.944
465000 41.6926 42.4135 41.8475 125.954
466000 41.7981 42.2106 41.9461 125.955
467000 41.7908 42.1801 41.8118 125.783
468000 41.8213 41.986 41.5607 125.368
469000 42.0515 41.7427 41.6668 125.461
470000 42.1416 42.1753 42.5536 126.87
471000 42.3441 42.2272 42.2018 126.773
472000 42.7113 42.7519 42.1356 127.599
473000 42.1387 42.2378 41.8348 126.211
474000 42.2737 42.4652 42.3439 127.083
475000 41.8927 42.6291 41.9149 126.437
476000 41.7107 42.5267 42.0353 126.273
477000 42.2574 42.1932 42.3684 126.819
478000 41.7838 42.3015 41.5716 125.657
479000 42.034 42.1813 41.2959 125.511
480000 42.1348 42.467 42.0859 126.688
481000 42.401 43.0927 41.6073 127.101
482000 42.2624 43.1157 41.469 126.847
483000 42.1011 43.1464 41.3984 126.646
484000 42.7061 43.2969 41.7172 127.72
485000 42.009 43.3499 41.2346 126.593
486000 42.606 43.4231 41.8613 127.89
487000 42.65 43.7309 41.5284 127.909
488000 42.9765 43.6162 41.9333 128.526
489000 43.4353 43.6911 41.8579 128.984
490000 43.4562 44.0059 41.5311 128.993
491000 43.209 43.8262 42.1007 129.136
492000 43.3661 44.1093 41.9584 129.434
493000 43.7198 44.2416 42.1841 130.146
494000 43.4931 44.1957 41.9696 129.658
495000 43.713 43.8253 42.0461 129.584
496000 43.6367 43.9686 41.8169 129.422
497000 43.564 43.5393 41.6762 128.779
498000 44.087 44.6208 42.1519 130.86
499000 43.8013 44.4985 42.0529 130.353
500000 44.1788 44.5336 42.3892 131.102
